transaction_id,items
1,"milk,bread,butter,eggs"
2,"apple,banana,orange"
3,"milk,cheese,yogurt"
4,"bread,butter,jam"
5,"chicken,beef,pork"
6,"rice,pasta,noodles"
7,"milk,bread,eggs"
8,"milk,bread,cheese"
9,"apple,banana"
10,"coffee,tea,juice"
13,"bread,butter,milk,eggs"
14,"milk,bread,butter"
15,"tomato,potato,onion"
16,"apple,orange,grape"
17,"milk,bread,butter"
18,"chicken,rice,vegetables"
19,"bread,milk,eggs"
20,"coffee,tea"
21,"milk,bread"
22,"cheese,yogurt,milk"
23,"apple,banana"
24,"bread,jam,butter,milk"
25,"rice,pasta,noodles"
26,"beef,pork,chicken"
28,"milk,bread,cheese,eggs"
30,"juice,soda,water"
31,"milk,eggs,bread,butter"
32,"apple,orange"
33,"chicken,vegetables,rice"
34,"milk,bread"
35,"cheese,yogurt,milk"
36,"bread,butter,jam,honey"
37,"tea,coffee,juice"
38,"milk,cheese"
39,"tomato,potato,onion"
40,"apple,banana,grape,orange"
42,"milk,bread,butter,eggs,cheese"
43,"bread,butter,jam"
44,"chicken,beef"
45,"rice,noodles,pasta"
46,"milk,bread"
47,"apple,orange"
48,"coffee,tea,juice"
49,"milk,bread,eggs,butter"
50,"cheese,yogurt"
52,"bread,butter,milk"
53,"chicken,rice"
54,"apple,banana,orange"
55,"milk,cheese,yogurt,butter"
56,"bread,jam"
57,"tea,juice"
58,"milk,bread,eggs"
59,"tomato,potato,onion,garlic"
60,"chicken,vegetables"
61,"milk,bread"
62,"apple,banana,orange"
63,"rice,pasta"
64,"milk,bread,butter,eggs"
66,"coffee,tea"
67,"bread,butter,jam,milk,eggs"
68,"chicken,beef,pork,rice"
69,"milk,bread"
70,"apple,orange,grape"
72,"milk,bread,butter,eggs,cheese"
73,"yogurt,cheese,milk"
74,"tea,juice,soda"
75,"bread,butter,milk"
76,"chicken,rice,vegetables,sauce"
78,"milk,bread,eggs,butter,cheese"
79,"bread,butter,jam"
80,"coffee,tea"
81,"milk,cheese"
82,"rice,noodles"
83,"apple,banana,orange,grape"
84,"milk,bread,butter"
85,"chicken,rice,vegetables"
87,"milk,bread,eggs,butter,jam"
88,"cheese,yogurt,milk,butter"
90,"apple,orange"
91,"bread,butter,milk,eggs,cheese,jam"
92,"coffee,tea,juice"
93,"chicken,beef,rice"
94,"milk,bread,eggs"
95,"milk,cheese,yogurt"
96,"apple,banana"
97,"rice,pasta,noodles,sauce"
98,"milk,bread,butter,eggs"
99,"tomato,potato,onion,garlic,pepper"
100,"chicken,vegetables,rice,sauce"
